#{"t_start": 1734309533.218619, "env_id": "None"}
r,l,t
0.0,101,93.158561
0.95,5,93.163608
0.0,101,93.216452
0.0,101,93.217452
0.99,1,93.217452
0.99,1,93.217452
0.0,101,93.220453
0.0,101,93.227182
0.0,101,93.227182
0.0,101,93.227182
0.0,101,93.252847
0.22,78,93.26248
0.68,32,93.269478
0.0,101,93.273478
0.83,17,93.291835
0.0,101,93.294873
0.0,101,93.338329
0.0,101,93.341421
0.0,101,93.342021
0.0,101,93.351072
0.0,101,93.351072
0.77,23,93.370749
0.0,101,93.382178
0.0,101,93.388178
0.62,38,93.393303
0.0,101,93.396302
0.69,31,93.420534
0.0,101,93.420534
0.0,101,93.421534
0.0,101,93.467563
0.0,101,93.478193
0.0,101,93.478193
0.94,6,93.484193
0.0,101,93.502003
0.0,101,93.513765
0.0,101,93.517765
0.99,1,93.520765
0.0,101,93.521765
0.99,1,93.521765
0.97,3,93.526315
0.0,101,93.546933
0.0,101,93.546933
0.0,101,93.547933
0.0,101,93.600901
0.59,41,93.600901
0.99,1,93.600901
0.17,83,93.615557
0.0,101,93.616557
0.51,49,93.616557
0.98,2,93.620556
0.99,1,93.621556
0.0,101,93.626463
0.99,1,93.627458
0.41,59,93.632419
0.99,1,93.633419
0.0,101,93.658008
0.81,19,93.658008
0.66,34,93.658008
0.98,2,93.660049
0.99,1,93.661052
0.99,1,93.665014
0.0,101,93.667017
0.98,2,93.672015
0.0,101,93.673015
0.98,2,93.675015
0.0,101,93.749103
0.0,101,93.758534
0.0,101,93.759581
0.0,101,93.764579
0.0,101,93.775125
0.0,101,93.793942
0.0,101,93.793942
0.0,101,93.798941
0.0,101,93.803941
0.0,101,93.808538
0.0,101,93.882088
0.0,101,93.888086
0.0,100,93.889086
0.0,101,93.893875
0.0,101,93.905875
0.0,101,93.920527
0.0,101,93.920527
0.97,3,93.925143
0.0,101,93.926192
0.0,101,93.931191
0.0,101,93.935191
0.53,47,93.943885
0.66,34,93.96793
0.6,40,93.979458
0.23,77,93.992431
0.71,29,94.002436
0.99,1,94.002436
0.0,101,94.006436
0.0,101,94.016045
0.0,101,94.031154
0.0,101,94.052057
0.0,101,94.057056
0.99,1,94.060648
0.0,101,94.061647
0.98,2,94.065647
0.95,5,94.070647
0.45,55,94.070647
0.99,1,94.071648
0.0,101,94.071648
0.0,101,94.107031
0.0,101,94.125131
0.0,101,94.142879
0.98,2,94.146878
0.0,101,94.151879
0.98,2,94.153877
0.0,101,94.167512
0.0,101,94.19043
0.0,101,94.192112
0.6,40,94.211025
0.0,101,94.215024
0.91,9,94.215024
0.0,101,94.216025
0.0,101,94.216025
0.0,101,94.246947
0.0,101,94.256947
0.0,101,94.276175
0.0,101,94.295874
0.99,1,94.299873
0.27,73,94.300874
0.0,101,94.323567
0.0,101,94.338302
0.0,101,94.341366
0.99,1,94.3441
0.0,101,94.3441
0.0,101,94.3441
0.99,1,94.345098
0.99,1,94.346107
0.0,101,94.37575
0.75,25,94.376756
0.99,1,94.379757
0.0,101,94.386756
0.98,2,94.389756
0.89,11,94.403855
0.77,23,94.403855
0.99,1,94.404912
0.0,101,94.404912
0.0,101,94.434839
0.98,2,94.436839
0.12,88,94.439402
0.0,101,94.439402
0.75,25,94.440458
0.0,101,94.459895
0.0,101,94.477691
0.0,101,94.477691
0.17,83,94.488693
0.38,62,94.488693
0.55,45,94.493303
0.85,15,94.509898
0.0,101,94.5494
0.0,101,94.576097
0.0,101,94.576097
0.0,101,94.576097
0.99,1,94.576097
0.21,79,94.576097
0.71,29,94.576097
0.44,56,94.592462
0.0,101,94.615459
0.0,101,94.620459
0.0,101,94.634335
0.99,1,94.634335
0.0,101,94.644427
0.57,43,94.651426
0.54,46,94.659702
0.95,5,94.659702
0.43,57,94.669701
0.0,101,94.708591
0.0,101,94.708591
0.0,101,94.708591
0.0,101,94.750653
0.0,101,94.760598
0.07,93,94.770596
0.93,7,94.770596
0.98,2,94.773597
0.0,101,94.776315
0.98,2,94.779315
0.79,21,94.785314
0.0,101,94.795849
0.0,101,94.795849
0.38,62,94.804848
0.0,101,94.806848
0.72,28,94.812641
0.0,101,94.843798
0.0,101,94.858999
0.0,101,94.909002
0.0,101,94.910148
0.99,1,94.910148
0.0,101,94.910148
0.0,101,94.927277
0.0,101,94.927277
0.0,101,94.943614
0.0,101,94.943614
0.0,101,94.960749
0.7,30,94.977189
0.57,43,94.977189
0.69,31,94.999379
0.0,101,95.010379
0.0,101,95.011379
0.57,43,95.044076
0.72,28,95.047076
0.0,101,95.057076
0.0,101,95.059865
0.99,1,95.062864
0.99,1,95.063865
0.0,101,95.080374
0.0,101,95.092605
0.37,63,95.092605
0.99,1,95.092605
0.0,101,95.110021
0.0,101,95.124021
0.0,101,95.138022
0.98,2,95.140023
0.99,1,95.145229
0.53,47,95.160104
0.73,27,95.160104
0.99,1,95.160104
0.0,101,95.193656
0.0,101,95.194655
0.0,101,95.203656
0.0,101,95.21358
0.0,101,95.231347
0.0,101,95.24186
0.62,38,95.24186
0.0,101,95.24186
0.0,101,95.287968
0.0,101,95.306949
0.99,1,95.308444
0.0,101,95.308444
0.99,1,95.309488
0.0,101,95.331157
0.0,101,95.332156
0.1,90,95.335158
0.42,58,95.336156
0.99,1,95.336156
0.11,89,95.351034
0.3,70,95.351034
0.0,101,95.377328
0.27,73,95.403817
0.23,77,95.405818
0.38,62,95.408436
0.0,101,95.414472
0.99,1,95.415473
0.33,67,95.437429
0.73,27,95.443482
0.94,6,95.443482
0.74,26,95.443482
0.89,11,95.457966
0.0,101,95.458619
0.96,4,95.462656
0.0,101,95.463656
0.0,101,95.463656
0.99,1,95.464656
0.99,1,95.466656
0.8,20,95.467656
0.0,101,95.477468
0.99,1,95.478467
0.87,13,95.481467
0.0,101,95.5059
0.99,1,95.5059
0.0,101,95.533239
0.0,101,95.550876
0.0,101,95.571747
0.0,101,95.586263
0.0,101,95.590265
0.0,101,95.590265
0.0,101,95.595861
0.0,101,95.608552
0.0,101,95.6091
0.46,54,95.614105
0.35,65,95.614105
0.97,3,95.618914
0.0,101,95.633831
0.98,2,95.637432
0.98,2,95.639431
0.0,101,95.709414
0.97,3,95.712412
0.97,3,95.718411
0.0,101,95.729412
0.0,101,95.731411
0.0,101,95.734411
