#{"t_start": 1734309533.2093298, "env_id": "None"}
r,l,t
0.0,101,13.063588
0.91,9,13.065588
0.95,5,13.068887
0.91,9,13.069932
0.95,5,13.070931
0.9,10,13.072932
0.9,10,13.073931
0.88,12,13.075931
0.95,5,13.077931
0.84,16,13.077931
0.99,1,13.078931
0.96,4,13.079931
0.9,10,13.079931
0.98,2,13.080931
0.97,3,13.082931
0.85,15,13.085635
0.99,1,13.085635
0.55,45,13.085635
0.92,8,13.085635
0.85,15,13.085635
0.99,1,13.085635
0.7,30,13.085635
0.92,8,13.085635
0.92,8,13.085635
0.9,10,13.085635
0.95,5,13.102237
0.83,17,13.107162
0.7,30,13.109427
0.92,8,13.109427
0.9,10,13.109427
0.67,33,13.109427
0.99,1,13.118893
0.82,18,13.129898
0.99,1,13.130898
0.75,25,13.137898
0.49,51,13.137898
0.5,50,13.140898
