#{"t_start": 1734308162.8085334, "env_id": "None"}
r,l,t
0.94,6,73.969146
0.98,2,73.969146
0.78,22,73.970146
0.95,5,73.972146
0.98,2,73.972146
0.97,3,73.972146
0.96,4,73.973143
0.99,1,73.973143
0.98,2,73.973143
0.9,10,73.974213
0.99,1,73.974213
0.99,1,73.974213
0.83,17,73.980316
0.94,6,73.980316
0.98,2,73.980316
0.96,4,73.980316
0.99,1,73.981316
0.97,3,73.984387
0.95,5,73.984387
0.99,1,73.992507
0.92,8,73.992507
0.99,1,73.992507
0.93,7,73.993508
0.99,1,73.993508
0.95,5,73.993508
0.95,5,73.995585
0.99,1,73.995585
0.98,2,73.995585
0.86,14,73.996587
0.97,3,73.997586
0.97,3,73.997586
0.98,2,73.997586
0.85,15,74.002585
0.99,1,74.003586
0.95,5,74.004584
0.85,15,74.005583
0.91,9,74.007584
0.98,2,74.007584
0.96,4,74.013585
0.94,6,74.013585
0.94,6,74.013585
0.86,14,74.013585
0.93,7,74.014583
0.99,1,74.014583
0.99,1,74.014583
0.98,2,74.016583
0.96,4,74.016583
0.99,1,74.016583
0.96,4,74.025584
0.94,6,74.025584
0.85,15,74.026584
0.93,7,74.027584
0.93,7,74.027584
0.85,15,74.027584
0.99,1,74.029585
0.99,1,74.029585
0.99,1,74.034583
0.9,10,74.037581
0.88,12,74.039581
0.99,1,74.045581
0.99,1,74.046582
0.91,9,74.046582
0.94,6,74.046582
0.92,8,74.048582
0.89,11,74.048582
0.99,1,74.049581
0.98,2,74.049581
0.97,3,74.051584
0.98,2,74.057584
0.97,3,74.057584
0.99,1,74.058584
0.98,2,74.058584
0.99,1,74.058584
0.9,10,74.059584
0.97,3,74.062584
0.82,18,74.062584
0.97,3,74.062584
0.99,1,74.068584
0.99,1,74.068584
0.96,4,74.069584
0.99,1,74.069584
0.9,10,74.069584
0.99,1,74.070584
0.98,2,74.072584
0.98,2,74.073596
0.88,12,74.079584
0.98,2,74.079584
0.91,9,74.079584
0.99,1,74.079584
0.68,32,74.081591
0.68,32,74.081591
0.99,1,74.081591
0.94,6,74.081591
0.99,1,74.081591
0.76,24,74.082585
0.94,6,74.082585
0.99,1,74.082585
0.99,1,74.082585
0.98,2,74.084584
0.9,10,74.085584
0.99,1,74.091584
0.98,2,74.091584
0.95,5,74.093583
0.91,9,74.096585
0.92,8,74.096585
0.96,4,74.096585
0.92,8,74.096585
0.99,1,74.105646
0.9,10,74.105646
0.99,1,74.105646
0.99,1,74.107647
0.98,2,74.107647
0.99,1,74.107647
0.95,5,74.108648
0.98,2,74.109646
0.92,8,74.109646
0.99,1,74.109646
0.97,3,74.110646
0.88,12,74.110646
0.95,5,74.115644
0.98,2,74.116644
0.96,4,74.117644
0.95,5,74.120644
0.92,8,74.126645
0.96,4,74.126645
0.8,20,74.127644
0.93,7,74.128644
0.98,2,74.128644
0.99,1,74.130645
0.97,3,74.130645
0.99,1,74.130645
0.9,10,74.135645
0.99,1,74.135645
0.98,2,74.136644
0.96,4,74.136644
0.98,2,74.138644
0.91,9,74.138644
0.84,16,74.139644
0.95,5,74.144645
0.93,7,74.145644
0.96,4,74.146646
0.96,4,74.147645
0.98,2,74.152644
0.97,3,74.152644
0.99,1,74.153644
0.99,1,74.153644
0.66,34,74.153644
0.87,13,74.155644
0.7,30,74.156644
0.72,28,74.156644
0.84,16,74.161644
0.98,2,74.161644
0.99,1,74.162644
0.92,8,74.164644
0.94,6,74.164644
0.99,1,74.168644
0.9,10,74.169644
0.88,12,74.171644
0.97,3,74.171644
0.99,1,74.172644
0.94,6,74.176645
0.78,22,74.176645
0.96,4,74.176645
0.81,19,74.177644
0.99,1,74.178644
0.91,9,74.178644
0.97,3,74.180647
0.97,3,74.180647
0.96,4,74.180647
0.78,22,74.180647
0.99,1,74.182645
0.84,16,74.187789
0.99,1,74.187789
0.96,4,74.187789
0.86,14,74.187789
0.99,1,74.18879
0.97,3,74.18879
0.97,3,74.18879
0.97,3,74.18879
0.91,9,74.189789
0.99,1,74.189789
0.98,2,74.189789
0.99,1,74.19079
0.92,8,74.191793
0.97,3,74.191793
0.95,5,74.196848
0.9,10,74.196848
0.99,1,74.196848
0.97,3,74.196848
0.97,3,74.196848
0.97,3,74.197849
0.97,3,74.199849
0.97,3,74.199849
