#{"t_start": 1734309533.215802, "env_id": "None"}
r,l,t
0.98,2,73.716886
0.94,6,73.716886
0.98,2,73.718886
0.34,66,73.718886
0.0,101,73.718886
0.16,84,73.723886
0.96,4,73.724886
0.98,2,73.724886
0.9,10,73.726886
0.66,34,73.732438
0.89,11,73.740439
0.87,13,73.742439
0.97,3,73.744441
0.85,15,73.750013
0.94,6,73.754013
0.81,19,73.758013
0.85,15,73.758013
0.47,53,73.759013
0.99,1,73.759013
0.99,1,73.760014
0.88,12,73.768695
0.95,5,73.769695
0.93,7,73.769695
0.99,1,73.770695
0.67,33,73.785351
0.85,15,73.785351
0.91,9,73.785351
0.43,57,73.78735
0.95,5,73.796019
0.69,31,73.796019
0.98,2,73.801018
0.99,1,73.803017
0.98,2,73.805018
0.74,26,73.819703
0.89,11,73.819703
0.14,86,73.826701
0.91,9,73.826701
0.99,1,73.828634
0.97,3,73.836689
0.74,26,73.838689
0.72,28,73.84069
0.86,14,73.850017
0.85,15,73.851018
0.91,9,73.856018
0.31,69,73.856018
0.99,1,73.857018
0.96,4,73.860018
0.99,1,73.864896
0.82,18,73.864896
0.98,2,73.866894
0.89,11,73.873894
0.88,12,73.876894
0.99,1,73.878443
0.71,29,73.89461
0.82,18,73.903059
0.66,34,73.911059
0.15,85,73.911744
0.87,13,73.911744
0.25,75,73.932929
0.7,30,73.935926
0.83,17,73.939926
0.86,14,73.948927
0.85,15,73.958926
0.0,101,73.961745
0.84,16,73.967793
0.47,53,73.967793
0.29,71,73.970793
0.96,4,73.971794
0.81,19,73.971794
0.99,1,73.975793
0.96,4,73.978327
0.64,36,73.980371
0.99,1,73.980371
0.85,15,73.988371
0.77,23,73.998035
0.8,20,74.003035
0.95,5,74.011864
0.16,84,74.016911
0.94,6,74.022911
0.72,28,74.031568
0.71,29,74.041567
0.88,12,74.042568
0.91,9,74.053081
0.97,3,74.053081
0.54,46,74.061967
0.97,3,74.065013
0.35,65,74.070013
0.97,3,74.072015
0.89,11,74.072015
0.99,1,74.072015
0.98,2,74.074015
0.96,4,74.079954
0.48,52,74.079954
0.97,3,74.082954
0.97,3,74.089954
0.05,95,74.092954
0.59,41,74.097027
0.86,14,74.101027
0.95,5,74.109027
0.26,74,74.109027
0.76,24,74.115689
0.99,1,74.116688
0.96,4,74.116688
0.58,42,74.123688
0.95,5,74.124688
0.99,1,74.125689
0.88,12,74.13134
0.76,24,74.13334
0.98,2,74.13834
0.82,18,74.15499
0.95,5,74.167716
0.78,22,74.168716
0.59,41,74.169715
0.78,22,74.179541
0.0,101,74.18554
0.61,39,74.188539
0.88,12,74.189541
0.89,11,74.198111
0.99,1,74.199111
0.26,74,74.204111
0.91,9,74.205111
0.58,42,74.207111
0.72,28,74.215715
0.0,101,74.225715
0.92,8,74.231476
0.96,4,74.233476
0.96,4,74.241476
0.93,7,74.242476
0.76,24,74.2485
0.99,1,74.249501
0.96,4,74.250501
0.76,24,74.250501
0.88,12,74.261664
0.0,101,74.267701
0.85,15,74.280388
0.89,11,74.288387
0.91,9,74.297257
0.94,6,74.299257
0.49,51,74.299257
0.96,4,74.307256
0.89,11,74.317797
0.96,4,74.325797
0.84,16,74.325797
0.91,9,74.34462
0.52,48,74.34462
0.77,23,74.348115
0.21,79,74.348115
0.96,4,74.358113
0.0,101,74.358113
0.98,2,74.361272
0.91,9,74.361272
0.93,7,74.375704
0.0,101,74.375704
0.99,1,74.376705
0.0,101,74.384518
0.96,4,74.390517
0.95,5,74.395154
