#{"t_start": 1734309366.4073398, "env_id": "None"}
r,l,t
0.83,17,0.528855
0.89,11,0.528855
0.99,1,0.528855
0.97,3,0.528855
0.98,2,0.531857
0.98,2,0.531857
0.9,10,0.531857
0.96,4,0.531857
0.99,1,0.532856
0.97,3,0.532856
0.99,1,0.532856
0.99,1,0.532856
0.98,2,0.533857
0.7,30,0.534856
0.95,5,0.534856
0.99,1,0.535856
0.99,1,0.535856
0.98,2,0.535856
0.98,2,0.535856
0.88,12,0.536856
0.97,3,0.536856
0.99,1,0.536856
0.9,10,0.536856
0.99,1,0.536856
0.99,1,0.538856
0.97,3,0.539856
0.97,3,0.541302
0.97,3,0.541302
0.98,2,0.541302
0.94,6,0.541302
0.93,7,0.541302
0.94,6,0.541302
0.86,14,0.541302
0.99,1,0.541302
0.99,1,0.541302
0.99,1,0.541302
0.99,1,0.541302
0.88,12,0.541302
0.95,5,0.541302
0.99,1,0.541302
0.99,1,0.541302
0.99,1,0.541302
0.99,1,0.541302
0.97,3,0.541302
0.86,14,0.541302
0.97,3,0.541302
0.99,1,0.541302
0.98,2,0.541302
0.99,1,0.541302
0.98,2,0.541302
0.82,18,0.541302
0.99,1,0.541302
0.98,2,0.541302
0.99,1,0.541302
0.94,6,0.541302
0.99,1,0.556928
0.88,12,0.556928
0.99,1,0.556928
0.99,1,0.557868
0.97,3,0.559558
0.93,7,0.560558
0.92,8,0.560558
0.96,4,0.561558
0.99,1,0.561558
0.88,12,0.561558
0.93,7,0.562558
0.87,13,0.562558
0.98,2,0.564558
0.96,4,0.564558
0.74,26,0.565558
0.94,6,0.566558
0.99,1,0.566558
0.99,1,0.567558
0.98,2,0.568558
0.97,3,0.568558
0.99,1,0.569558
0.88,12,0.569558
0.95,5,0.570558
0.98,2,0.571558
0.96,4,0.572558
0.89,11,0.573557
0.99,1,0.573557
0.69,31,0.573557
0.88,12,0.574512
0.99,1,0.574512
0.92,8,0.575547
0.95,5,0.575547
0.93,7,0.576547
0.97,3,0.576547
0.99,1,0.577548
0.94,6,0.577548
0.97,3,0.577548
0.97,3,0.578547
0.99,1,0.578547
0.97,3,0.578547
0.99,1,0.578547
0.99,1,0.578547
0.84,16,0.578547
0.99,1,0.579547
0.84,16,0.580547
0.99,1,0.580547
0.99,1,0.581547
0.98,2,0.582547
0.91,9,0.583548
0.99,1,0.583548
0.95,5,0.584548
0.95,5,0.584548
0.93,7,0.584548
0.9,10,0.585547
0.97,3,0.587547
0.95,5,0.588547
0.94,6,0.589547
0.91,9,0.590547
0.94,6,0.590547
0.99,1,0.591231
0.97,3,0.591231
0.96,4,0.591231
0.96,4,0.591231
0.98,2,0.591231
0.99,1,0.591231
0.99,1,0.591231
0.83,17,0.591231
0.95,5,0.591231
0.87,13,0.591231
0.99,1,0.591231
0.79,21,0.591231
0.96,4,0.591231
0.79,21,0.591231
0.93,7,0.591231
0.99,1,0.591231
0.88,12,0.591231
0.93,7,0.591231
0.8,20,0.591231
0.87,13,0.591231
0.99,1,0.591231
0.99,1,0.591231
0.99,1,0.591231
0.93,7,0.591231
0.94,6,0.607875
0.99,1,0.607875
0.94,6,0.607875
0.84,16,0.61552
0.92,8,0.61552
0.94,6,0.61552
0.94,6,0.61552
0.99,1,0.61552
0.89,11,0.61552
0.97,3,0.61552
0.99,1,0.61552
0.99,1,0.61552
0.91,9,0.61552
0.99,1,0.61552
0.86,14,0.61552
0.85,15,0.61552
0.98,2,0.624723
0.96,4,0.624723
0.99,1,0.625764
0.95,5,0.627761
0.98,2,0.627761
0.93,7,0.628762
0.96,4,0.628762
0.9,10,0.631761
0.82,18,0.632761
0.9,10,0.632761
0.8,20,0.632761
0.99,1,0.633762
0.94,6,0.634761
0.86,14,0.634761
0.93,7,0.634761
0.99,1,0.635761
0.99,1,0.635761
0.96,4,0.635761
0.92,8,0.635761
0.99,1,0.636762
0.99,1,0.636762
0.83,17,0.637762
0.95,5,0.637762
0.93,7,0.640762
0.92,8,0.640762
0.95,5,0.642762
0.99,1,0.643761
0.93,7,0.643761
0.92,8,0.643761
0.97,3,0.644761
0.97,3,0.644761
0.99,1,0.644761
0.98,2,0.645761
0.84,16,0.645761
0.99,1,0.646762
0.99,1,0.647761
0.97,3,0.647761
0.98,2,0.647761
0.9,10,0.648761
0.99,1,0.648761
0.99,1,0.648761
0.9,10,0.648761
0.87,13,0.650761
0.96,4,0.651761
0.99,1,0.652761
0.91,9,0.652761
0.96,4,0.652761
0.99,1,0.653761
0.99,1,0.653761
0.97,3,0.653761
0.9,10,0.654761
0.93,7,0.656762
0.99,1,0.656762
0.97,3,0.656762
0.99,1,0.657885
0.97,3,0.657956
0.78,22,0.657956
0.85,15,0.657956
0.96,4,0.657956
0.99,1,0.657956
0.98,2,0.657956
0.92,8,0.657956
0.87,13,0.657956
0.97,3,0.657956
0.95,5,0.657956
0.95,5,0.657956
0.98,2,0.657956
0.85,15,0.657956
0.92,8,0.673584
0.92,8,0.673584
0.99,1,0.674916
0.95,5,0.676553
0.83,17,0.676553
0.99,1,0.678553
0.82,18,0.678553
0.94,6,0.679555
0.91,9,0.679555
0.82,18,0.679555
0.99,1,0.679555
0.98,2,0.679555
0.88,12,0.681553
0.98,2,0.681553
0.99,1,0.681553
0.95,5,0.681553
0.99,1,0.681553
0.99,1,0.682553
0.98,2,0.682553
0.98,2,0.682553
0.98,2,0.683554
0.99,1,0.685553
0.91,9,0.685553
0.96,4,0.686553
0.95,5,0.686553
0.99,1,0.687553
0.98,2,0.687553
0.99,1,0.687553
0.98,2,0.690553
0.96,4,0.690553
0.93,7,0.69117
0.92,8,0.69117
0.93,7,0.69117
0.92,8,0.69117
0.95,5,0.694209
0.98,2,0.694209
0.9,10,0.695208
0.95,5,0.696208
0.96,4,0.696208
0.98,2,0.696208
0.94,6,0.697208
0.97,3,0.699208
0.57,43,0.700208
0.92,8,0.700208
0.96,4,0.700208
0.99,1,0.701209
0.96,4,0.701209
0.98,2,0.702208
0.86,14,0.703209
0.91,9,0.703209
0.97,3,0.703209
0.99,1,0.704209
0.97,3,0.704209
0.91,9,0.704209
0.95,5,0.704209
0.99,1,0.705208
0.99,1,0.705208
0.99,1,0.705208
0.99,1,0.705208
0.95,5,0.706209
0.99,1,0.706209
0.98,2,0.707925
0.95,5,0.707925
0.95,5,0.707925
0.95,5,0.707925
0.81,19,0.707925
0.99,1,0.707925
0.99,1,0.707925
0.97,3,0.707925
0.9,10,0.707925
0.91,9,0.707925
0.99,1,0.707925
0.98,2,0.707925
0.92,8,0.707925
0.87,13,0.707925
0.88,12,0.72457
0.76,24,0.72457
0.99,1,0.72457
0.82,18,0.72457
0.97,3,0.72457
0.99,1,0.72457
0.99,1,0.729369
0.92,8,0.730783
0.99,1,0.730783
0.95,5,0.731884
0.86,14,0.731884
0.96,4,0.731884
0.93,7,0.731884
0.93,7,0.731884
0.9,10,0.731884
0.99,1,0.731884
0.74,26,0.731884
0.94,6,0.731884
0.87,13,0.731884
0.91,9,0.731884
0.95,5,0.741485
0.95,5,0.742521
0.97,3,0.742521
0.96,4,0.743518
0.99,1,0.743518
0.99,1,0.743518
0.99,1,0.745518
0.99,1,0.745518
0.95,5,0.745518
0.98,2,0.746518
0.99,1,0.747518
0.97,3,0.748518
0.96,4,0.749518
0.88,12,0.750519
0.85,15,0.751518
0.99,1,0.751518
0.99,1,0.752518
0.9,10,0.752518
0.95,5,0.752518
0.99,1,0.754519
0.99,1,0.754519
0.96,4,0.754519
0.85,15,0.754519
0.92,8,0.754519
0.85,15,0.757518
0.84,16,0.757518
0.95,5,0.759518
0.94,6,0.759518
0.95,5,0.759518
0.97,3,0.760518
0.99,1,0.760518
0.94,6,0.760518
0.99,1,0.760518
0.99,1,0.761518
0.98,2,0.761518
0.9,10,0.762518
0.94,6,0.763518
0.99,1,0.764518
0.95,5,0.765518
0.96,4,0.765518
0.99,1,0.765518
0.94,6,0.766518
0.83,17,0.766518
0.99,1,0.766518
0.94,6,0.766518
0.99,1,0.768518
0.87,13,0.768518
0.97,3,0.769519
0.97,3,0.770518
0.99,1,0.770518
0.97,3,0.770518
0.92,8,0.770518
0.97,3,0.770518
0.91,9,0.772518
0.98,2,0.772518
0.98,2,0.772518
0.99,1,0.773519
0.97,3,0.773519
0.92,8,0.774601
0.81,19,0.774601
0.99,1,0.774601
0.97,3,0.774601
0.98,2,0.774601
0.99,1,0.774601
0.95,5,0.774601
0.98,2,0.774601
0.96,4,0.774601
0.99,1,0.774601
0.95,5,0.774601
0.98,2,0.774601
0.98,2,0.774601
0.99,1,0.774601
0.99,1,0.774601
0.87,13,0.774601
0.99,1,0.774601
0.94,6,0.774601
0.99,1,0.774601
0.99,1,0.774601
0.98,2,0.774601
0.93,7,0.774601
0.84,16,0.774601
0.94,6,0.774601
0.93,7,0.774601
0.98,2,0.790229
0.89,11,0.791193
0.98,2,0.791193
0.99,1,0.791828
0.97,3,0.791828
0.78,22,0.791828
0.94,6,0.79383
0.99,1,0.79383
0.78,22,0.79483
0.83,17,0.79483
0.98,2,0.79583
0.93,7,0.79583
0.96,4,0.796829
0.95,5,0.796829
